/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/deeptivelusamy/CSE536Mapper&reducer/thread_test.py
TthrhedoeIo 1
pittieward 1
incensing 1
crocodile 1
jarring 2
answeee 1
Oonedroup 1
chair 3
hole 3
Pyramus 1
uneven 1
ver 1
evergentle 1
yere 1
Pickd 1
stitchery 1
vex 2
blindfold 1
occupations 1
Cornwalls 1
Wedded 1
Peer 1
Peep 1
Believe 8
ByrtThd 1
vouchd 2
stayd 3
tisu 1
Teill 1
Allows 1
Yield 3
choice 8
lark 4
mourn 2
bustle 1
stays 4
ofhede 1
fullest 1
Wel 1
exact 2
minute 7
Andbye 1
cooks 2
tear 8
rights 4
Tax 1
Rank 1
forevouchd 1
leave 11
Polydote 1
Chus 1
settle 2
tean 1
reclusive 1
team 2
melancholies 1
sweeten 2
prevent 2
shelvy 1
minion 2
sigh 5
Dpea 1
opposers 1
prediction 1
sign 3
Ppadpon 1
designs 2
crescent 3
whoseposye 1
thepenealys 1
venge 2
poorscruplcenahyiof 1
aaughters 1
wreath 1
melt 5
current 1
remembered 2
mell 1
FENTON 1
falling 7
Francis 3
badge 3
Stocking 1
Strive 1
Me 6
Scylla 1
Equality 1
Sermons 1
honour 11
funeral 1
leaped 1
outpeer 1
redressd 1
Whispering 1
consult 1
gnaw 1
yards 1
address 4
alone 11
muskets 1
along 9
uncropped 1
My 11
hushd 2
bandsmay 1
hurtling 1
Associated 1
redemption 2
root 6
coxcomb 5
studied 5
wherever 1
sawt 2
ourself 1
Pay 1
accomplished 3
CONRADE 1
Stealing 1
Scratching 1
Bore 1
studies 1
nowhere 1
DON 1
bloods 5
Glide 1
proportion 2
bs 1
prefer 3
bloody 9
whiey 1
Enough 5
Toilhusmmethiks 1
lovt 1
Peascod 1
wellwon 1
Gaoler 3
Limbo 1
uotenemly 1
bended 2
crammed 2
opposer 2
cherisher 1
cherishes 1
working 3
untaught 1
positive 1
angry 8
La 1
DIOMEDES 1
tightly 1
imaginations 2
vigour 2
opposed 4
wondering 3
Lo 5
obloquy 1
enfeebles 1
Those 8
loving 8
scratched 2
Iris 1
MARDIAN 1
sprite 2
Trudge 1
afford 2
compremises 1
apparent 2
validity 2
odious 4
pratest 2
invocation 1
unlinkd 1
ignorant 7
virtue 11
Mortal 1
expresley 1
disparagement 1
riders 1
behalf 9
Noblest 1
Oui 1
valued 3
dealyu 1
anything 3
sanctified 2
moulten 1
believet 1
Pays 2
pretend 1
Midsummer 1
privy 2
inflamed 1
believes 2
nether 1
ARVIRAGUS 1
harmonious 1
values 2
slowness 2
straightpight 1
believed 3
Our 11
Menas 1
Out 11
alias 2
admired 3
providently 1
diurnal 1
Holding 1
lockd 4
mirrors 1
hies 1
virgins 2
sacrament 1
locks 4
Tush 2
hides 4
allowed 2
Antonius 1
absentand 1
stole 4
calumnious 1
constancies 1
Rememberest 1
mingling 1
Spanish 1
winter 7
buttered 2
divided 3
Who 11
vainly 1
entangled 2
thanking 1
wordlegitimate 1
pendulous 1
dyu 1
childchanged 1
doomd 2
Why 11
vagrom 1
dothgentrea 1
swearer 1
